"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,118,"KEN","Kenya",1,"Baringo","KE.BA",30,"","County","County","",""
2,118,"KEN","Kenya",2,"Bomet","KE.BO",36,"","County","County","",""
3,118,"KEN","Kenya",3,"Bungoma","KE.BN",39,"","County","County","",""
4,118,"KEN","Kenya",4,"Busia","KE.BS",40,"","County","County","",""
5,118,"KEN","Kenya",5,"Elgeyo-Marakwet","KE.EM",28,"","County","County","",""
6,118,"KEN","Kenya",6,"Embu","KE.EB",14,"","County","County","",""
7,118,"KEN","Kenya",7,"Garissa","KE.GA",7,"","County","County","",""
8,118,"KEN","Kenya",8,"Homa Bay","KE.HB",43,"","County","County","",""
9,118,"KEN","Kenya",9,"Isiolo","KE.IS",11,"","County","County","",""
10,118,"KEN","Kenya",10,"Kajiado","KE.KJ",34,"","County","County","",""
11,118,"KEN","Kenya",11,"Kakamega","KE.KK",37,"","County","County","",""
12,118,"KEN","Kenya",12,"Kericho","KE.KR",35,"","County","County","",""
13,118,"KEN","Kenya",13,"Kiambu","KE.KB",22,"","County","County","",""
14,118,"KEN","Kenya",14,"Kilifi","KE.KF",3,"","County","County","",""
15,118,"KEN","Kenya",15,"Kirinyaga","KE.KY",20,"","County","County","",""
16,118,"KEN","Kenya",16,"Kisii","KE.KI",45,"","County","County","",""
17,118,"KEN","Kenya",17,"Kisumu","KE.KU",42,"","County","County","",""
18,118,"KEN","Kenya",18,"Kitui","KE.KT",15,"","County","County","",""
19,118,"KEN","Kenya",19,"Kwale","KE.KW",2,"","County","County","",""
20,118,"KEN","Kenya",20,"Laikipia","KE.LK",31,"","County","County","",""
21,118,"KEN","Kenya",21,"Lamu","KE.LM",5,"","County","County","",""
22,118,"KEN","Kenya",22,"Machakos","KE.MC",16,"","County","County","",""
23,118,"KEN","Kenya",23,"Makueni","KE.MK",17,"","County","County","",""
24,118,"KEN","Kenya",24,"Mandera","KE.MD",9,"","County","County","",""
25,118,"KEN","Kenya",25,"Marsabit","KE.MB",10,"","County","County","",""
26,118,"KEN","Kenya",26,"Meru","KE.ME",12,"","County","County","",""
27,118,"KEN","Kenya",27,"Migori","KE.MG",44,"","County","County","",""
28,118,"KEN","Kenya",28,"Mombasa","KE.MM",1,"","County","County","",""
29,118,"KEN","Kenya",29,"Murang'a","KE.MU",21,"","County","County","",""
30,118,"KEN","Kenya",30,"Nairobi","KE.NB",47,"","County","County","",""
31,118,"KEN","Kenya",31,"Nakuru","KE.NK",32,"","County","County","",""
32,118,"KEN","Kenya",32,"Nandi","KE.ND",29,"","County","County","",""
33,118,"KEN","Kenya",33,"Narok","KE.NR",33,"","County","County","",""
34,118,"KEN","Kenya",34,"Nyamira","KE.NM",46,"","County","County","",""
35,118,"KEN","Kenya",35,"Nyandarua","KE.NN",18,"","County","County","",""
36,118,"KEN","Kenya",36,"Nyeri","KE.NI",19,"","County","County","",""
37,118,"KEN","Kenya",37,"Samburu","KE.SA",25,"","County","County","",""
38,118,"KEN","Kenya",38,"Siaya","KE.SI",41,"","County","County","",""
39,118,"KEN","Kenya",39,"Taita Taveta","KE.TT",6,"","County","County","",""
40,118,"KEN","Kenya",40,"Tana River","KE.TR",4,"","County","County","",""
41,118,"KEN","Kenya",41,"Tharaka-Nithi","KE.NT",13,"","County","County","",""
42,118,"KEN","Kenya",42,"Trans Nzoia","KE.TN",26,"","County","County","",""
43,118,"KEN","Kenya",43,"Turkana","KE.TU",23,"","County","County","",""
44,118,"KEN","Kenya",44,"Uasin Gishu","KE.UG",27,"","County","County","",""
45,118,"KEN","Kenya",45,"Vihiga","KE.VI",38,"","County","County","",""
46,118,"KEN","Kenya",46,"Wajir","KE.WJ",8,"","County","County","",""
47,118,"KEN","Kenya",47,"West Pokot","KE.WP",24,"","County","County","",""
